22:15:57 | decode_cross_subject | INFO | [E3] S078 | acc_at_end=0.511 | best=0.533 @0.50s | rest FPR=0.89
22:15:58 | decode_cross_subject | INFO | [E3] S080 | acc_at_end=0.467 | best=0.711 @1.50s | rest FPR=0.90
22:15:59 | decode_cross_subject | INFO | [E3] S081 | acc_at_end=0.489 | best=0.489 @0.50s | rest FPR=1.00
22:16:00 | decode_cross_subject | INFO | [E3] S094 | acc_at_end=0.644 | best=0.756 @2.50s | rest FPR=0.83
22:16:01 | decode_cross_subject | INFO | [E3] S098 | acc_at_end=0.578 | best=0.600 @0.50s | rest FPR=0.89
22:16:02 | decode_cross_subject | INFO | [E3] S101 | acc_at_end=0.444 | best=0.578 @2.50s | rest FPR=0.84
22:16:03 | decode_cross_subject | INFO | [E3] S105 | acc_at_end=0.511 | best=0.733 @1.25s | rest FPR=0.78
22:16:04 | decode_cross_subject | INFO | [E3] S106 | acc_at_end=0.489 | best=0.622 @0.50s | rest FPR=0.86
22:16:14 | decode_cross_subject | INFO | [E6] 训练完成: riemann | 70 人 / 3148 窗 | align=riemann adaptive=False
22:16:15 | decode_cross_subject | INFO | [E6] S001 | acc_at_end=0.622 | best=0.756 @2.00s | rest FPR=0.81
22:16:16 | decode_cross_subject | INFO | [E6] S005 | acc_at_end=0.422 | best=0.622 @1.50s | rest FPR=0.76
22:16:17 | decode_cross_subject | INFO | [E6] S012 | acc_at_end=0.644 | best=0.667 @2.25s | rest FPR=0.71
22:16:18 | decode_cross_subject | INFO | [E6] S015 | acc_at_end=0.556 | best=0.756 @1.00s | rest FPR=0.81
22:16:19 | decode_cross_subject | INFO | [E6] S022 | acc_at_end=0.533 | best=0.600 @1.00s | rest FPR=0.78
22:16:20 | decode_cross_subject | INFO | [E6] S027 | acc_at_end=0.533 | best=0.667 @2.00s | rest FPR=0.76
22:16:21 | decode_cross_subject | INFO | [E6] S031 | acc_at_end=0.778 | best=0.844 @2.75s | rest FPR=0.84
22:16:22 | decode_cross_subject | INFO | [E6] S038 | acc_at_end=0.511 | best=0.689 @1.50s | rest FPR=0.79
22:16:23 | decode_cross_subject | INFO | [E6] S065 | acc_at_end=0.511 | best=0.711 @1.75s | rest FPR=0.74
22:16:24 | decode_cross_subject | INFO | [E6] S077 | acc_at_end=0.511 | best=0.644 @2.00s | rest FPR=0.80
22:16:25 | decode_cross_subject | INFO | [E6] S078 | acc_at_end=0.444 | best=0.578 @1.25s | rest FPR=0.82
22:16:26 | decode_cross_subject | INFO | [E6] S080 | acc_at_end=0.600 | best=0.733 @1.50s | rest FPR=0.85
22:16:27 | decode_cross_subject | INFO | [E6] S081 | acc_at_end=0.511 | best=0.622 @1.75s | rest FPR=0.86
22:16:28 | decode_cross_subject | INFO | [E6] S094 | acc_at_end=0.800 | best=0.844 @2.75s | rest FPR=0.85
22:16:29 | decode_cross_subject | INFO | [E6] S098 | acc_at_end=0.689 | best=0.778 @3.75s | rest FPR=0.82
22:16:31 | decode_cross_subject | INFO | [E6] S101 | acc_at_end=0.467 | best=0.556 @2.00s | rest FPR=0.76
22:16:32 | decode_cross_subject | INFO | [E6] S105 | acc_at_end=0.489 | best=0.667 @2.00s | rest FPR=0.83
22:16:33 | decode_cross_subject | INFO | [E6] S106 | acc_at_end=0.489 | best=0.644 @0.75s | rest FPR=0.80
22:16:33 | decode_cross_subject | INFO | 均值(测试 18 人): 被试内CSP(W4)=0.615 | 被试内EEGNet(W5)=0.536 | E1 acc_at_end=0.521 best=0.605 restFPR=0.23 | E3 acc_at_end=0.544 best=0.653 restFPR=0.84 | E5 acc_at_end=0.572 best=0.725 restFPR=0.38 | E6 acc_at_end=0.562 best=0.688 restFPR=0.80 | E8 acc_at_end=0.560 best=0.699 restFPR=0.56 -> /Users/erqian/Desktop/util_udf/mi_decoder/results/metrics/cross_subject_online.csv
