22:06:07 | pseudo_online | INFO | device = mps
/Users/erqian/Desktop/util_udf/mi_decoder/.venv/lib/python3.12/site-packages/braindecode/models/eegpt.py:497: FutureWarning: Montage name 'standard_1020' is deprecated and will be removed in MNE 1.14. Use 'colin27_1020' instead.
  montage = mne.channels.make_standard_montage("standard_1020")
/Users/erqian/Desktop/util_udf/mi_decoder/.venv/lib/python3.12/site-packages/braindecode/models/eegpt.py:1452: FutureWarning: Montage name 'standard_1020' is deprecated and will be removed in MNE 1.14. Use 'colin27_1020' instead.
  montage = make_standard_montage("standard_1020")
22:12:21 | pseudo_online | INFO | S089 | eegnet | acc_at_end=0.571 | best acc=0.643 @0.50s | ITR=7.2 | rest FPR=0.00
22:12:26 | pseudo_online | INFO | S090 | eegnet | acc_at_end=0.429 | best acc=0.786 @1.75s | ITR=8.6 | rest FPR=0.20
22:12:38 | pseudo_online | INFO | S091 | eegnet | acc_at_end=0.571 | best acc=0.571 @2.25s | ITR=0.4 | rest FPR=0.99
22:12:40 | pseudo_online | INFO | S093 | eegnet | acc_at_end=0.500 | best acc=0.714 @1.75s | ITR=4.7 | rest FPR=0.00
22:12:44 | pseudo_online | INFO | S094 | eegnet | acc_at_end=0.500 | best acc=0.571 @2.75s | ITR=0.3 | rest FPR=0.00
22:12:46 | pseudo_online | INFO | S095 | eegnet | acc_at_end=0.571 | best acc=0.714 @1.50s | ITR=5.5 | rest FPR=0.00
22:12:49 | pseudo_online | INFO | S096 | eegnet | acc_at_end=0.500 | best acc=0.714 @3.25s | ITR=2.5 | rest FPR=0.00
22:12:51 | pseudo_online | INFO | S097 | eegnet | acc_at_end=0.571 | best acc=0.786 @0.50s | ITR=30.0 | rest FPR=0.00
22:12:56 | pseudo_online | INFO | S098 | eegnet | acc_at_end=0.500 | best acc=0.571 @0.75s | ITR=1.2 | rest FPR=0.29
22:12:58 | pseudo_online | INFO | S099 | eegnet | acc_at_end=0.500 | best acc=0.714 @3.75s | ITR=2.2 | rest FPR=0.00
22:13:01 | pseudo_online | INFO | S101 | eegnet | acc_at_end=0.429 | best acc=0.643 @2.50s | ITR=1.4 | rest FPR=0.00
22:13:07 | pseudo_online | INFO | S102 | eegnet | acc_at_end=0.429 | best acc=0.857 @2.00s | ITR=12.2 | rest FPR=0.40
22:13:12 | pseudo_online | INFO | S103 | eegnet | acc_at_end=0.571 | best acc=0.714 @2.50s | ITR=3.3 | rest FPR=0.25
22:13:15 | pseudo_online | INFO | S104 | eegnet | acc_at_end=0.462 | best acc=0.615 @0.75s | ITR=3.1 | rest FPR=0.00
22:13:21 | pseudo_online | INFO | S105 | eegnet | acc_at_end=0.429 | best acc=0.786 @2.75s | ITR=5.5 | rest FPR=0.09
22:13:25 | pseudo_online | INFO | S106 | eegnet | acc_at_end=0.571 | best acc=0.571 @1.25s | ITR=0.7 | rest FPR=0.01
22:13:29 | pseudo_online | INFO | S107 | eegnet | acc_at_end=0.571 | best acc=0.714 @3.50s | ITR=2.3 | rest FPR=0.00
22:13:37 | pseudo_online | INFO | S108 | eegnet | acc_at_end=0.500 | best acc=0.786 @1.50s | ITR=10.0 | rest FPR=0.79
22:13:41 | pseudo_online | INFO | S109 | eegnet | acc_at_end=0.500 | best acc=0.643 @2.00s | ITR=1.8 | rest FPR=0.00
22:13:41 | pseudo_online | INFO | 均值(eegnet, n=106): acc_at_end=0.537 | best acc=0.706 | ITR=6.3 bits/min | rest FPR=0.17 -> /Users/erqian/Desktop/util_udf/mi_decoder/results/metrics/pseudo_online_eegnet_results.csv
