offset,acc,n,subject
3.75,1.0,14,31
4.0,1.0,14,31
0.5,0.5714285714285714,14,32
0.75,0.5714285714285714,14,32
1.0,0.5714285714285714,14,32
1.25,0.7142857142857143,14,32
1.5,0.7142857142857143,14,32
1.75,0.5714285714285714,14,32
2.0,0.7142857142857143,14,32
2.25,0.7857142857142857,14,32
2.5,0.8571428571428571,14,32
2.75,0.7142857142857143,14,32
3.0,0.7142857142857143,14,32
3.25,0.7142857142857143,14,32
3.5,0.7142857142857143,14,32
3.75,0.7857142857142857,14,32
4.0,0.8571428571428571,14,32
0.5,0.7142857142857143,14,33
0.75,0.6428571428571429,14,33
1.0,0.7857142857142857,14,33
1.25,0.7857142857142857,14,33
1.5,0.6428571428571429,14,33
1.75,0.7142857142857143,14,33
2.0,0.6428571428571429,14,33
2.25,0.6428571428571429,14,33
2.5,0.8571428571428571,14,33
2.75,0.7857142857142857,14,33
3.0,0.7142857142857143,14,33
3.25,0.6428571428571429,14,33
3.5,0.6428571428571429,14,33
3.75,0.6428571428571429,14,33
4.0,0.6428571428571429,14,33
0.5,0.7857142857142857,14,34
0.75,0.7857142857142857,14,34
1.0,0.7857142857142857,14,34
1.25,0.8571428571428571,14,34
1.5,0.8571428571428571,14,34
1.75,0.8571428571428571,14,34
2.0,0.7142857142857143,14,34
2.25,0.9285714285714286,14,34
2.5,1.0,14,34
2.75,1.0,14,34
3.0,1.0,14,34
3.25,1.0,14,34
3.5,0.9285714285714286,14,34
3.75,0.9285714285714286,14,34
4.0,0.9285714285714286,14,34
0.5,0.5714285714285714,14,35
0.75,0.6428571428571429,14,35
1.0,0.5714285714285714,14,35
1.25,0.42857142857142855,14,35
1.5,0.42857142857142855,14,35
1.75,0.42857142857142855,14,35
2.0,0.5,14,35
2.25,0.6428571428571429,14,35
2.5,0.6428571428571429,14,35
2.75,0.6428571428571429,14,35
3.0,0.8571428571428571,14,35
3.25,0.8571428571428571,14,35
3.5,0.7857142857142857,14,35
3.75,0.5714285714285714,14,35
4.0,0.5714285714285714,14,35
0.5,0.5,14,36
0.75,0.6428571428571429,14,36
1.0,0.5,14,36
1.25,0.5,14,36
1.5,0.42857142857142855,14,36
1.75,0.5,14,36
2.0,0.6428571428571429,14,36
2.25,0.5,14,36
2.5,0.42857142857142855,14,36
2.75,0.6428571428571429,14,36
3.0,0.7142857142857143,14,36
3.25,0.7142857142857143,14,36
3.5,0.6428571428571429,14,36
3.75,0.7857142857142857,14,36
4.0,0.5714285714285714,14,36
0.5,0.5,14,37
0.75,0.5,14,37
1.0,0.5,14,37
1.25,0.5,14,37
1.5,0.5,14,37
1.75,0.5,14,37
2.0,0.5,14,37
2.25,0.5,14,37
